gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000262155.1,LINC02175,-2.7716984556682185,-0.7003222728201546,0.005576466830338987,0.0017253166713639867,0.028838030788363094,0.03614564672524995,NA,8,8,8,0.006940001335064506,0.05564243607889674
ENSG00000266490.1,CTD-2349P21.9,-2.766349853229173,-0.1384041435799508,0.005668768274735226,0.05294585077521006,0.22581048300416556,3.93285450559176e-10,NA,22,65,65,0.013840000724420093,0.1291699892226945
ENSG00000149150.8,SLC43A1,2.758866894953836,0.1083509594438715,0.005800215453733652,0.06573494932597815,0.18767040941692692,2.1438856551859668e-08,NA,37,37,37,0.0027630000870895286,0.11588263626914592
ENSG00000204516.9,MICB,2.755566731397476,0.05389656613246411,0.005859055146531664,0.2151882524533667,0.4560462016203777,1.448618038398674e-22,NA,55,55,55,0.0006340998387533821,0.14697211380108893
ENSG00000140382.14,HMG20A,-2.750382399474437,-0.6628815423810199,0.005952575378755214,0.0017159414909899689,0.06436845852809632,0.0017605813503581394,NA,15,16,16,0.01902999840497827,0.02007330188911236
ENSG00000220201.7,ZGLP1,-2.746967548022728,-0.4202601718542436,0.00601490857002309,0.005288213498732114,0.1124051364426714,1.818103766815379e-05,NA,7,7,7,0.018810002986866997,0.07420509238132893
ENSG00000228696.8,ARL17B,-2.7447244798229824,-0.07502655161535615,0.006056171923947535,0.13682691904453978,0.30842333772188524,8.388585835640122e-14,NA,69,78,78,0.015190001223382302,0.38405779440491306
ENSG00000172167.7,MTBP,2.7423695012190072,0.0647829173492027,0.006099768212948522,0.2226991548904801,0.5385914618797464,8.561483369817295e-31,NA,178,190,190,0.0001736999743696771,0.5911396663787768
ENSG00000105821.14,DNAJC2,-2.7308041753599603,-0.2643142452641249,0.00631800001272982,0.010323934505327767,0.0418260830716455,0.009507200568477958,NA,21,27,27,9.44099650792376e-05,0.2301066582634203
ENSG00000268601.1,AC115522.3,-2.7280150030208388,-0.18687478812910463,0.0063716709990418305,0.024312858172358322,0.07853387604132007,0.000554189474358724,NA,18,22,22,0.008366997487655025,0.09680952235123697
ENSG00000137601.16,NEK1,-2.726695095680644,-0.6285981754075495,0.006397212207056272,0.00205314627145628,0.03051068822919809,0.03332610997036347,NA,20,20,20,0.007935999962803518,0.01894367017663771
ENSG00000218739.9,CEBPZOS,-2.721478438249125,-0.16935498930506623,0.006499062468303712,0.023686847354053117,0.1456407345192791,1.271654036899907e-06,NA,19,20,20,0.0009928001291286015,0.08762721622174195
ENSG00000117500.12,TMED5,2.7206072276855715,0.5192115386113126,0.006516213451433152,0.0024713352775491224,0.10321210922875376,5.76389152207708e-05,NA,18,18,18,0.0054840011306937905,0.00972241132821299
ENSG00000115840.13,SLC25A12,-2.7167412358657614,-0.17421704447928762,0.00659281301521742,0.024533320245203823,0.2448987221521884,4.405350584362032e-11,NA,72,74,74,1.0230006612373831e-05,0.04552159499328992
ENSG00000113396.12,SLC27A6,2.7135169596321593,0.36917274173250014,0.006657316043903924,0.004896886625689462,0.03000013303826295,0.03395349306258644,NA,5,5,5,0.0010120000244293228,0.06231077483067798
ENSG00000138111.14,MFSD13A,2.712703559151219,0.07537686107177356,0.006673677834382589,0.11680657602610457,0.4915882907611834,2.4037549028360008e-26,NA,21,21,21,0.0004047998692655195,0.08700839968088832
ENSG00000278535.4,DHRS11,2.708114675680211,0.19624813481232142,0.0067666636949554335,0.018721640640551894,0.22431436251357145,2.824686331120695e-10,NA,13,18,18,0.00729899953776029,0.04831514171624434
ENSG00000140682.18,TGFB1I1,2.706551629394721,0.07216494223671387,0.00679860100229411,0.15666721684482732,0.2952222586003254,2.691711495559542e-13,NA,44,72,72,0.0002097999922461849,0.2623641316436614
ENSG00000281538.1,RP4-669P10.20,-2.7052842176955183,-0.08845593581727006,0.0068245970686799514,0.07802373399213436,0.4509002685848859,1.742471365316332e-23,NA,41,43,43,0.009512999371084522,0.13203403433197747
ENSG00000111796.3,KLRB1,-2.7041617939618505,-0.1673949236215885,0.006847693806410648,0.02306563842929655,0.02744315591869388,0.046041823409700165,NA,7,8,8,0.0038309992468236478,0.14330528959884975
ENSG00000169330.8,KIAA1024,2.7002157690949162,0.07597514698462277,0.006929451884448212,0.1181215894390574,0.04328972899715643,0.011363958768516084,NA,126,133,133,0.00885600127283752,0.2621932045464049
ENSG00000114933.15,INO80D,-2.6884694703361416,-0.23533621849005396,0.007178039914119804,0.013177680903250503,0.16815598303839052,1.768976595421368e-07,NA,22,22,22,0.0016940000957533256,0.0246757751830556
ENSG00000177302.14,TOP3A,2.682896144137928,0.19894691046257923,0.007298765240536062,0.017231761647228776,0.2038970303704892,3.6783542395002e-09,NA,14,20,20,0.011869998961600889,0.03541670235806355
ENSG00000240567.1,LINC02067,2.6826251174702254,0.14083837824498416,0.007304682205166578,0.033855427218093315,0.1180641741280388,9.474226360561227e-06,NA,58,59,59,0.01412000058339944,0.14900796857360765
ENSG00000140443.13,IGF1R,-2.6756762938967356,-0.16227415597193892,0.007457863856228051,0.029801849272002207,0.3770657309838452,1.546217862679228e-18,NA,6,6,6,0.003630000041442348,0.21551673393054493
