gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000118197.13,DDX59,2.431124110710742,0.12398119202106916,0.015052057579333875,0.03482971979534211,0.22135252155768065,1.2001738335013986e-09,NA,8,8,8,0.016559995665268487,0.08590608380221347
ENSG00000137507.11,LRRC32,-2.4296980276313462,-0.18214407671291438,0.015111407271857088,0.017858135756199482,0.03794779229801043,0.02064640040419538,NA,62,63,63,0.002370000907676631,0.18778022835699168
ENSG00000267079.1,RP11-820I16.1,2.4252191829998613,0.07774969627114199,0.015299146796300941,0.10886079835515378,0.3003864242316051,3.671120401821929e-13,NA,23,23,23,0.00826000129989432,0.16472396000790124
ENSG00000272899.3,RP11-309L24.4,2.4196195343618143,0.3110945910442788,0.015536753396195181,0.005531465795050231,0.08160294708976305,0.0004009107422011756,NA,8,8,8,0.024729993004030244,0.06154141578842672
ENSG00000155755.18,TMEM237,-2.4182033974294184,-0.2643170771818743,0.015597355565287884,0.008840190551885915,0.1438182682648931,3.012849127592508e-06,NA,21,21,21,0.02146000400154864,0.06939701411377429
ENSG00000087365.15,SF3B2,2.4092436133196244,0.19339272639465452,0.01598562348674383,0.013130722367212974,0.1449317189024672,1.0982064462088315e-06,NA,44,44,44,0.002095999944745279,0.048306514628767484
ENSG00000234056.1,LINC00463,2.408212411150201,0.16558161636855717,0.016030850931934945,0.025623710785583877,0.08339235093966836,0.000292326682376883,NA,33,33,33,0.014400004709813759,0.11683846802156278
ENSG00000178802.17,MPI,-2.405947055580216,-0.16955846012821746,0.016130602249184726,0.020742206829060757,0.27532017369847195,4.662726216979101e-12,NA,17,17,17,0.001867999362332844,0.02660219544784212
ENSG00000167377.17,ZNF23,-2.3984233131897357,-0.22479987642699018,0.016465823921187075,0.012029530761983369,0.07479133475670106,0.0009622464927065504,NA,19,20,20,0.008005000888377566,0.10542592132090878
ENSG00000273329.1,RP11-448A19.1,2.397036801160621,0.2980169622781808,0.016528263593969694,0.00617496642494322,0.030814569612781662,0.035997488599199184,NA,13,13,13,0.006504999490398206,0.031362823859716595
ENSG00000142082.14,SIRT3,2.3912204395847922,0.23379798584752287,0.016792467077784982,0.011744949525229417,0.10801886117631453,4.6528189424270254e-05,NA,83,85,85,0.049089995207767814,0.03768342149841185
ENSG00000132781.17,MUTYH,-2.38716494805531,-0.4482896692307061,0.016978871417670596,0.0026984407502238473,0.03496002543009386,0.027101852888104905,NA,17,17,17,0.0011050003388345,0.0873794499538153
ENSG00000177868.11,SVBP,2.3845830545832842,0.09853212476663936,0.017098487929198516,0.05881915657778686,0.2171454236302174,5.788039883586631e-10,NA,24,24,24,0.005969997877014535,0.05218198744912353
ENSG00000168803.14,ADAL,2.380220026228108,0.07882363644789579,0.017302303491457078,0.09996032859340644,0.284794545751404,2.2088877276084937e-12,NA,51,52,52,0.0022849992683429063,0.097372635123803
ENSG00000261795.1,RP11-90P13.1,-2.3688145142517985,-0.28719590796397976,0.017845200526085816,0.007909154840794512,0.11877604232575235,2.585481846183036e-05,NA,13,15,15,0.031179994305007615,0.06875594089031205
ENSG00000234602.7,MCIDAS,-2.3686971015885323,-0.3016048090112757,0.01785086606135504,0.004648535952342172,0.0399317715675883,0.017236962269832772,NA,8,8,8,0.010780001529663252,0.06405521857444736
ENSG00000183117.18,CSMD1,2.3668136171286784,0.37348001521585816,0.017941965840847098,0.0035950399314442043,0.12249383617147393,1.5185617196332736e-05,NA,21,23,23,0.002575000144718704,0.060247235405310434
